project,dataset,source,task,algorithm,feature_variant,optimization,primary_metric,primary_value,rank_score,secondary_metric,secondary_value,tertiary_metric,tertiary_value,fit_seconds,notes
liquid_financial_signals,Stock Market / synthetic volatile fallback,synthetic_stock_fallback,next_return_regression,liquid_regressor,temporal_returns_windows,adam_liquid_cell,rmse,0.03227439675409574,-0.03227439675409574,r2,-2.8410050868988037,latency_ms,2.918077100184746,4.220849268996972,mae=0.02625
liquid_financial_signals,Stock Market / synthetic volatile fallback,synthetic_stock_fallback,next_return_regression,liquid_regressor_adamw,temporal_returns_windows,adamw_liquid_cell,rmse,0.022315145623711733,-0.022315145623711733,r2,-0.8362342119216919,latency_ms,4.539009949803585,4.919798540999182,mae=0.01782
biosignal_diagnostics,ECG Heartbeat Categorization-inspired Benchmark,synthetic_ecg_fallback,multiclass_classification,conv1d_ecg,raw_heartbeat,adam_conv,balanced_accuracy,0.5891891891891892,0.5891891891891892,macro_f1,0.47062407858121136,latency_ms,7.350962849886855,2.528753999999026,model_kb=24.21
biosignal_diagnostics,ECG Heartbeat Categorization-inspired Benchmark,synthetic_ecg_fallback,multiclass_classification,residual_conv1d_ecg,raw_heartbeat,adam_residual,balanced_accuracy,0.4082768844794161,0.4082768844794161,macro_f1,0.31028305203787715,latency_ms,6.90811929962365,3.3044043039990356,model_kb=14.74
biosignal_diagnostics,ECG Heartbeat Categorization-inspired Benchmark,synthetic_ecg_fallback,multiclass_classification,depthwise_conv1d_ecg,raw_heartbeat,adam_depthwise,balanced_accuracy,0.2,0.2,macro_f1,0.06960352422907488,latency_ms,4.76178719982272,2.7547508309944533,model_kb=4.57
biosignal_diagnostics,ECG Heartbeat Categorization-inspired Benchmark,synthetic_ecg_fallback,multiclass_classification,gru_ecg,raw_heartbeat,adam_gru,balanced_accuracy,0.23547724940130005,0.23547724940130005,macro_f1,0.12791496532503727,latency_ms,92.77094450008008,22.758162867990904,model_kb=20.96
knowledge_distillation_api,IMDB-style sentiment / synthetic fallback,synthetic_imdb_fallback,binary_classification,teacher_mlp,bag_of_words_bigrams,adamw_teacher,accuracy,1.0,1.0,roc_auc,1.0,model_kb,386.5078125,1.2493822789983824,Teacher stands in for an API-labeled richer model.
knowledge_distillation_api,IMDB-style sentiment / synthetic fallback,synthetic_imdb_fallback,binary_classification,student_supervised,bag_of_words_bigrams,adam_student,accuracy,1.0,1.0,roc_auc,1.0,model_kb,48.5703125,0.5512784970051143,Small student trained on hard labels only.
knowledge_distillation_api,IMDB-style sentiment / synthetic fallback,synthetic_imdb_fallback,binary_classification,student_distilled,bag_of_words_bigrams,teacher_soft_targets,accuracy,0.9933333333333333,0.9933333333333333,roc_auc,1.0,model_kb,48.5703125,0.6830468580010347,Teacher logits act as the API-derived supervision signal.
knowledge_distillation_api,IMDB-style sentiment / synthetic fallback,synthetic_imdb_fallback,binary_classification,student_hashed,hashing_vectorizer,adam_hash_features,accuracy,1.0,1.0,roc_auc,1.0,model_kb,48.5703125,0.4379893190052826,Hashed features simulate a smaller edge tokenizer footprint.
